Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Marcus Browne,M. Browne,AFC Wimbledon,Center Forward,ENG - League One,24.6,26.0,66.4,33.8
Nathan Collins,N. Collins,Brentford FC,Central Defender,ENG - Premier League,12.4,35.1,26.3,39.7
Germán Valera Karabinaite,Germán Valera,Elche CF,Full Back,ESP - LaLiga,91.1,84.1,59.6,64.4
Michel Ndary Adopo,M. Adopo,Cagliari,Midfield,ITA - Serie A,91.6,85.8,80.8,52.9
Memeh Caleb Okoli,C. Okoli,Leicester City,Central Defender,ENG - Championship,73.7,59.6,56.7,24.7
Oliver Casey,O. Casey,Blackpool,Central Defender,ENG - League One,37.5,47.0,37.5,40.9
Oliver Casey,O. Casey,Blackpool,Central Defender,ENG - League One,16.8,36.0,42.0,34.7
Leif Davis,L. Davis,Ipswich Town,Full Back,ENG - Championship,99.6,75.0,33.9,35.3
Jeremy Ngakia,J. Ngakia,Watford,Full Back,ENG - Championship,19.8,61.0,27.3,10.8
Kell Watts,K. Watts,Cambridge United,Central Defender,ENG - League Two,27.0,57.3,40.2,45.1
Lewis Gibson,L. Gibson,Preston North End,Central Defender,ENG - Championship,53.3,24.1,14.1,70.3
João Pedro Junqueira de Jesus,João Pedro,Chelsea,Center Forward,ENG - Premier League,90.6,76.4,66.1,45.8
Christian Saydee,C. Saydee,Wigan Athletic,Center Forward,ENG - League One,33.5,47.2,26.1,7.9
Donald Love,D. Love,Accrington Stanley,Central Defender,ENG - League Two,33.3,50.5,68.9,86.3
Donald Love,D. Love,Accrington Stanley,Full Back,ENG - League Two,42.2,23.3,26.6,39.9
Oliver Norburn,O. Norburn,Notts County FC,Midfield,ENG - League Two,54.0,55.0,26.9,4.4
Josh Laurent,J. Laurent,Burnley,Central Defender,ENG - Premier League,49.1,54.7,76.0,91.8
Shaun Whalley,S. Whalley,Accrington Stanley,Midfield,ENG - League Two,76.7,36.5,62.1,41.3
Shaun Whalley,S. Whalley,Accrington Stanley,Center Forward,ENG - League Two,14.6,40.6,32.8,82.4
Omar Beckles,O. Beckles,Leyton Orient FC,Central Defender,ENG - League One,42.7,61.1,56.9,39.2
Daniel Udoh,D. Udoh,Salford City FC,Center Forward,ENG - League Two,62.0,72.5,33.0,11.2
Cristhian Sleiker Cásseres Yepes,C. Cásseres,Toulouse FC,Midfield,FRA - Ligue 1,85.8,74.7,68.7,36.6
Lassine Sinayoko,L. Sinayoko,AJ Auxerre,Center Forward,FRA - Ligue 1,69.7,38.0,66.0,30.2
Martín Zubimendi Ibañez,Martín Zubimendi,Arsenal Football Club,Midfield,ENG - Premier League,48.1,45.5,50.2,50.5
Martín Zubimendi Ibañez,Martín Zubimendi,Arsenal Football Club,Midfield,ENG - Premier League,45.0,47.2,39.4,34.4
Pierre Kalulu Kyatengwa,P. Kalulu,Juventus,Central Defender,ITA - Serie A,65.4,95.0,97.3,98.0
Alexis Mac Allister,A. Mac Allister,Liverpool Football Club,Midfield,ENG - Premier League,63.8,49.2,27.3,44.4
Bruno Guimarães Rodriguez Moura,Bruno Guimarães,Newcastle United,Midfield,ENG - Premier League,19.1,18.5,59.6,72.0
Karim Adeyemi,K. Adeyemi,Borussia Dortmund,Midfield,GER - Bundesliga,100.0,86.1,86.2,33.5
Maxim De Cuyper,M. De Cuyper,Brighton and Hove Albion,Full Back,ENG - Premier League,6.1,19.5,50.2,76.3
Vítor Machado Ferreira,Vitinha,Paris Saint-Germain,Midfield,FRA - Ligue 1,60.2,58.0,41.1,69.1
Azor Matusiwa,A. Matusiwa,Ipswich Town,Midfield,ENG - Championship,58.1,91.5,49.4,31.2
Gabriel Gudmundsson,G. Gudmundsson,Leeds United,Full Back,ENG - Premier League,62.7,64.5,90.9,53.4
Gabriel Gudmundsson,G. Gudmundsson,Leeds United,Full Back,ENG - Premier League,86.3,39.9,75.2,64.2
David Mota Veiga Teixeira Carmo,David Carmo,Real Oviedo,Central Defender,ESP - LaLiga,43.1,57.9,42.9,33.3
Julián Álvarez,J. Álvarez,Atlético Madrid,Center Forward,ESP - LaLiga,59.1,52.8,79.3,71.0
Craig Halkett,C. Halkett,Heart of Midlothian,Central Defender,SCO - Premiership,23.9,27.4,14.2,0.4
Malick Thiaw,M. Thiaw,Newcastle United,Central Defender,ENG - Premier League,74.1,32.9,12.3,35.6
Armando Broja,A. Broja,Burnley,Center Forward,ENG - Premier League,66.7,51.4,23.5,67.4
Gideon Mensah,G. Mensah,AJ Auxerre,Full Back,FRA - Ligue 1,57.6,75.2,63.6,14.6
Billy Koumetio,B. Koumetio,Dundee FC,Central Defender,SCO - Premiership,36.8,64.2,34.0,44.5
Nicolas Seiwald,N. Seiwald,RB Leipzig,Midfield,GER - Bundesliga,87.7,78.2,53.9,57.7
David Affengruber,D. Affengruber,Elche CF,Central Defender,ESP - LaLiga,74.9,85.0,74.1,25.3
David Affengruber,D. Affengruber,Elche CF,Central Defender,ESP - LaLiga,42.7,51.8,66.4,45.0
Víctor Parada González,Víctor Parada,Deportivo Alavés,Full Back,ESP - LaLiga,48.1,20.3,60.2,51.8
Benjamin Šeško,B. Šeško,Manchester United,Center Forward,ENG - Premier League,97.6,87.9,69.5,60.5
Will Ferry,W. Ferry,Dundee United,Full Back,SCO - Premiership,52.2,81.5,55.6,43.8
Dion Sanderson,D. Sanderson,Derby County FC,Central Defender,ENG - Championship,54.2,19.7,42.7,26.7
Dion Sanderson,D. Sanderson,Derby County FC,Central Defender,ENG - Championship,34.5,18.3,55.1,26.5
Michael Olise,M. Olise,FC Bayern Munchen,Wide Attacker,GER - Bundesliga,68.6,55.9,85.1,80.4
Chem Campbell,C. Campbell,Stevenage FC,Wide Attacker,ENG - League One,21.4,9.2,11.6,42.2
Terry Taylor,T. Taylor,Northampton Town FC,Midfield,ENG - League One,49.6,69.1,25.3,3.0
Florian Wirtz,F. Wirtz,Liverpool Football Club,Midfield,ENG - Premier League,91.1,49.3,88.7,85.7
Luca Netz,L. Netz,Borussia Mönchengladbach,Full Back,GER - Bundesliga,32.8,35.0,60.7,72.0
Amos Pieper,A. Pieper,SV Werder Bremen,Central Defender,GER - Bundesliga,32.9,31.2,62.0,96.4
Leo Skiri Østigård,L. Østigård,Genoa,Central Defender,ITA - Serie A,18.1,48.9,28.3,41.3
Tim Lemperle,T. Lemperle,TSG 1899 Hoffenheim,Center Forward,GER - Bundesliga,74.4,86.7,92.2,94.9
Luis Milla Manzanares,Luis Milla,Getafe CF,Midfield,ESP - LaLiga,34.2,68.0,74.2,41.2
Lucas Ahijado Quintana,Lucas Ahijado,Real Oviedo,Full Back,ESP - LaLiga,55.1,59.4,64.5,67.8
Pedro González López,Pedri,FC Barcelona,Midfield,ESP - LaLiga,31.6,28.9,63.7,56.5
Iñigo  Ruiz de Galarreta Etxeberria,Iñigo Ruiz de Galarreta,Athletic Club de Bilbao,Midfield,ESP - LaLiga,2.7,19.3,68.1,75.3
Santiago Ignacio Bueno Sciutto,S. Bueno,Wolverhampton Wanderers,Central Defender,ENG - Premier League,44.1,21.9,31.5,12.5
Jon Pacheco Dozagarat,Jon Pacheco,Deportivo Alavés,Central Defender,ESP - LaLiga,40.8,50.7,42.0,16.0
Chris Richards,C. Richards,Crystal Palace,Central Defender,ENG - Premier League,51.3,68.3,73.7,85.4
Alejandro Catena Marugán,Alejandro Catena,CA Osasuna,Central Defender,ESP - LaLiga,11.0,26.3,67.7,45.0
Nikola Tavares,N. Tavares,Barnet FC,Central Defender,ENG - League Two,73.6,70.6,32.0,12.2
Nikola Tavares,N. Tavares,Barnet FC,Central Defender,ENG - League Two,42.0,50.2,9.9,28.3
Lorenzo Colombo,L. Colombo,Genoa,Center Forward,ITA - Serie A,55.9,47.2,52.5,75.2
Jimmy Dunne,J. Dunne,Queens Park Rangers,Full Back,ENG - Championship,25.8,62.6,25.2,38.8
Jimmy Dunne,J. Dunne,Queens Park Rangers,Central Defender,ENG - Championship,34.7,58.7,61.4,50.2
Bobby Thomas,B. Thomas,Coventry City Football Club,Central Defender,ENG - Championship,68.8,61.4,87.4,56.9
Jorge Cuenca Barreno,Jorge Cuenca,Fulham,Central Defender,ENG - Premier League,25.5,40.5,11.1,28.2
Tatsuki Seko,T. Seko,Stoke City,Midfield,ENG - Championship,31.3,17.4,60.4,59.9
Koki Saito,K. Saito,Queens Park Rangers,Wide Attacker,ENG - Championship,4.9,63.8,64.9,79.2
Matthew Gerrard Smith,M. Smith,Wigan Athletic,Midfield,ENG - League One,15.7,45.7,25.6,18.5
Jérémy Doku,J. Doku,Manchester City,Wide Attacker,ENG - Premier League,45.0,67.6,48.4,33.9
Filippo Terracciano,F. Terracciano,US Cremonese,Central Defender,ITA - Serie A,34.3,42.6,90.4,96.5
Sondre Tronstad,S. Tronstad,Blackburn Rovers,Midfield,ENG - Championship,37.0,61.4,38.2,20.2
Facundo Nahuel Tenaglia,N. Tenaglia,Deportivo Alavés,Central Defender,ESP - LaLiga,85.3,27.5,68.4,28.4
Martín Ismael Payero,M. Payero,US Cremonese,Midfield,ITA - Serie A,63.6,51.0,55.2,31.1
Luke Thomas,L. Thomas,Leicester City,Full Back,ENG - Championship,13.5,54.0,41.8,21.6
George Hirst,G. Hirst,Ipswich Town,Center Forward,ENG - Championship,68.7,59.1,52.0,21.5
Crysencio Summerville,C. Summerville,West Ham United,Wide Attacker,ENG - Premier League,78.0,77.2,16.5,17.8
Chris Willock,C. Willock,Cardiff City,Wide Attacker,ENG - League One,20.7,37.6,34.6,29.1
Josh Davison,J. Davison,Tranmere Rovers FC,Center Forward,ENG - League Two,57.6,63.0,10.8,13.9
Milan van Ewijk,M. van Ewijk,Coventry City Football Club,Full Back,ENG - Championship,96.8,73.6,57.8,6.8
Mats Knoester,M. Knoester,Aberdeen,Central Defender,SCO - Premiership,43.5,23.6,39.6,43.3
Haji Wright,H. Wright,Coventry City Football Club,Center Forward,ENG - Championship,75.5,52.2,38.7,11.6
Jordan Williams,J. Williams,Portsmouth,Full Back,ENG - Championship,80.8,55.0,31.5,63.9
Callum Styles,C. Styles,West Bromwich Albion,Full Back,ENG - Championship,27.3,36.4,82.1,87.5
Morgan Whittaker,M. Whittaker,Middlesbrough,Midfield,ENG - Championship,83.5,31.6,76.5,44.1
Morgan Whittaker,M. Whittaker,Middlesbrough,Wide Attacker,ENG - Championship,20.0,15.8,47.6,81.3
Jason Knight,J. Knight,Bristol City,Midfield,ENG - Championship,32.2,45.2,51.2,43.6
Sean McLoughlin,S. McLoughlin,Blackburn Rovers,Central Defender,ENG - Championship,60.4,36.1,59.6,56.5
Sean McLoughlin,S. McLoughlin,Blackburn Rovers,Central Defender,ENG - Championship,36.6,45.4,75.4,84.1
Bright Osayi-Samuel,B. Osayi-Samuel,Birmingham City,Full Back,ENG - Championship,92.7,73.9,19.3,2.5
Dara O'Shea,D. O'Shea,Ipswich Town,Central Defender,ENG - Championship,78.9,68.6,47.3,44.1
Ayumu Seko,A. Seko,Le Havre AC,Midfield,FRA - Ligue 1,68.7,63.4,70.6,85.5
Reo Hatate,R. Hatate,Celtic FC,Midfield,SCO - Premiership,18.7,35.8,33.5,58.5
Tomoki Iwata,T. Iwata,Birmingham City,Full Back,ENG - Championship,38.7,43.0,56.7,67.6
Yuki Ohashi,Y. Ohashi,Blackburn Rovers,Center Forward,ENG - Championship,64.5,60.6,67.2,60.8
Ransford Yeboah Königsdörffer,R. Königsdörffer,Hamburger SV,Center Forward,GER - Bundesliga,80.9,41.4,44.7,61.0
Jamie Leweling,J. Leweling,VfB Stuttgart,Wide Attacker,GER - Bundesliga,67.2,75.7,56.2,51.1
Clinton Mola,C. Mola,Bristol Rovers FC,Central Defender,ENG - League Two,74.7,69.8,48.6,21.0
George Campbell,G. Campbell,West Bromwich Albion,Full Back,ENG - Championship,14.8,32.2,47.1,51.2
Danny Wilson,D. Wilson,Livingston FC,Central Defender,SCO - Premiership,0.2,39.4,9.2,20.6
Tajon Trevor Buchanan,T. Buchanan,Villarreal CF,Wide Attacker,ESP - LaLiga,74.6,83.7,79.2,85.9
James Sands,J. Sands,FC St. Pauli,Midfield,GER - Bundesliga,8.6,36.3,82.1,84.0
Valentín Mariano José Castellanos Giménez,Taty Castellanos,Lazio,Center Forward,ITA - Serie A,31.2,53.7,66.6,74.3
Antonio Martínez López,Toni Martínez,Deportivo Alavés,Center Forward,ESP - LaLiga,54.1,59.3,51.1,31.0
Mathias Ross Jensen,M. Ross,Plymouth Argyle,Central Defender,ENG - League One,29.5,31.2,20.2,49.7
Gustav Tang Isaksen,G. Isaksen,Lazio,Wide Attacker,ITA - Serie A,41.5,37.1,80.1,94.7
Emil Riis Jakobsen,E. Riis,Bristol City,Center Forward,ENG - Championship,49.7,87.1,64.1,61.9
Anders Hagelskjær,A. Hagelskjær,Wycombe Wanderers,Central Defender,ENG - League One,31.6,42.6,36.0,41.5
Enrico Del Prato,E. Del Prato,Parma,Central Defender,ITA - Serie A,47.9,48.1,58.1,41.7
Gennaro Borrelli,G. Borrelli,Cagliari,Center Forward,ITA - Serie A,22.2,29.6,16.3,62.9
Tommaso Pobega,T. Pobega,Bologna,Midfield,ITA - Serie A,73.4,45.4,68.5,69.9
M'Bala Nzola,M. Nzola,Pisa Sporting Club,Center Forward,ITA - Serie A,78.7,49.9,24.3,5.6
Nadir Zortea,N. Zortea,Bologna,Full Back,ITA - Serie A,78.5,59.2,79.2,69.7
Kristian Thorstvedt,K. Thorstvedt,Sassuolo,Midfield,ITA - Serie A,32.1,44.9,40.8,57.3
Issa Kaboré,I. Kaboré,Wrexham FC,Full Back,ENG - Championship,79.4,75.2,75.0,46.7
Patrick Wimmer,P. Wimmer,VfL Wolfsburg,Wide Attacker,GER - Bundesliga,77.7,53.7,56.3,42.0
Christoph Klarer,C. Klarer,Birmingham City,Central Defender,ENG - Championship,22.2,39.9,47.9,38.5
Carl Starfelt,C. Starfelt,RC Celta de Vigo,Central Defender,ESP - LaLiga,76.4,73.9,62.7,53.6
Ísak Bergmann Jóhannesson,I. Jóhannesson,1. FC Köln,Midfield,GER - Bundesliga,75.3,34.3,50.7,85.1
Luis Henrique Tomaz de Lima,Luis Henrique,Inter Milan,Full Back,ITA - Serie A,57.5,68.3,88.5,94.6
Francisco Evanilson de Lima Barbosa,Evanilson,Bournemouth,Center Forward,ENG - Premier League,88.4,84.4,47.1,25.5
Gabriel Alonso Suazo Urbina,G. Suazo,Sevilla FC,Full Back,ESP - LaLiga,18.0,43.0,61.3,41.6
Alex Cochrane,A. Cochrane,Birmingham City,Full Back,ENG - Championship,0.8,25.6,13.4,15.0
Ellis Simms,E. Simms,Coventry City Football Club,Center Forward,ENG - Championship,71.9,66.0,42.0,35.0
Jean-Philippe Krasso,J. Krasso,Paris FC,Center Forward,FRA - Ligue 1,17.5,38.4,70.5,74.1
Nicolás Capaldo Taboas,N. Capaldo,Hamburger SV,Central Defender,GER - Bundesliga,96.5,85.4,99.6,94.6
Lautaro Rodrigo Valenti,L. Valenti,Parma,Central Defender,ITA - Serie A,46.4,27.9,57.8,64.0
Michael Steinwender,M. Steinwender,Heart of Midlothian,Full Back,SCO - Premiership,28.7,26.7,34.6,21.6
Ousmane Diakité,O. Diakité,West Bromwich Albion,Midfield,ENG - Championship,5.4,42.0,29.0,72.2
George Miller,G. Miller,Cheltenham Town,Center Forward,ENG - League Two,81.2,59.6,8.8,19.2
Matthew Platt,M. Platt,Notts County FC,Central Defender,ENG - League Two,54.4,46.8,19.5,10.2
Odin Bailey,O. Bailey,Stockport County FC,Midfield,ENG - League One,29.2,33.2,42.9,81.4
Jayden Richardson,J. Richardson,St. Mirren,Full Back,SCO - Premiership,95.1,50.2,26.7,57.1
Steve Seddon,S. Seddon,AFC Wimbledon,Full Back,ENG - League One,3.6,7.9,73.2,77.4
Alexandros Kyziridis,A. Kyziridis,Heart of Midlothian,Wide Attacker,SCO - Premiership,41.4,35.7,85.2,55.4
Ruben Roosken,R. Roosken,Huddersfield Town,Full Back,ENG - League One,85.2,33.9,65.7,29.1
José Luis García Vayá,Pepelu,Valencia CF,Midfield,ESP - LaLiga,40.3,28.2,18.4,26.2
Lewis Smith,L. Smith,Livingston FC,Wide Attacker,SCO - Premiership,10.1,33.7,46.5,82.9
Will Collar,W. Collar,Milton Keynes Dons,Midfield,ENG - League Two,53.9,41.8,56.1,67.7
Ali McCann,A. McCann,Preston North End,Midfield,ENG - Championship,37.0,34.3,21.6,51.9
Jason Kerr,J. Kerr,Wigan Athletic,Central Defender,ENG - League One,31.8,23.7,26.8,43.1
Liam Gordon,L. Gordon,Motherwell,Central Defender,SCO - Premiership,29.8,32.5,27.3,51.8
Callum Hendry,C. Hendry,Motherwell,Center Forward,SCO - Premiership,5.7,22.8,76.3,97.5
Nicky Devlin,N. Devlin,Aberdeen,Central Defender,SCO - Premiership,82.9,66.5,13.1,46.0
Scott Pittman,S. Pittman,Livingston FC,Midfield,SCO - Premiership,52.7,42.9,54.6,90.1
Craig Sibbald,C. Sibbald,Dundee United,Midfield,SCO - Premiership,42.8,47.2,31.4,12.1
Devante Cole,D. Cole,Port Vale FC,Center Forward,ENG - League One,80.6,55.2,22.5,18.4
Matthew Garbett,M. Garbett,Peterborough United,Wide Attacker,ENG - League One,25.5,34.4,4.7,12.5
Ilya Zabarnyi,I. Zabarnyi,Paris Saint-Germain,Central Defender,FRA - Ligue 1,96.4,84.4,87.5,68.4
Tim Siersleben,T. Siersleben,1. FC Heidenheim 1846,Central Defender,GER - Bundesliga,8.7,57.1,85.1,91.7
Santiago Daniel Pierotti,S. Pierotti,Lecce,Wide Attacker,ITA - Serie A,33.7,48.4,90.3,84.6
Lewis Mayo,L. Mayo,Kilmarnock,Central Defender,SCO - Premiership,55.6,51.3,22.5,30.7
Malik Tillman,M. Tillman,Bayer 04 Leverkusen,Midfield,GER - Bundesliga,66.3,49.0,61.3,86.8
Ian Maatsen,I. Maatsen,Aston Villa,Full Back,ENG - Premier League,94.2,26.4,52.8,49.2
Peter Kioso,P. Kioso,Peterborough United,Full Back,ENG - League One,23.2,52.4,17.4,5.7
Jordan Brown,J. Brown,Blackpool,Midfield,ENG - League One,36.8,34.5,35.4,16.6
Elliot Bonds,E. Bonds,Fleetwood Town FC,Midfield,ENG - League Two,84.9,91.7,50.7,3.5
Ryan Stirk,R. Stirk,Chesterfield FC,Midfield,ENG - League Two,42.8,51.3,47.0,13.3
Conor Grant,C. Grant,Notts County FC,Midfield,ENG - League Two,78.2,34.6,48.4,58.5
Andrew John Smith,A. Smith,Gillingham FC,Central Defender,ENG - League Two,62.5,37.2,7.3,40.2
Andrew John Smith,A. Smith,Gillingham FC,Central Defender,ENG - League Two,94.9,64.1,20.1,20.7
Donervon Daniels,D. Daniels,Oldham Athletic AFC,Central Defender,ENG - League Two,75.8,68.6,33.9,22.4
Jay Stansfield,J. Stansfield,Birmingham City,Midfield,ENG - Championship,94.8,91.0,89.8,42.3
Jay Stansfield,J. Stansfield,Birmingham City,Center Forward,ENG - Championship,76.7,55.2,91.5,75.2
Josh Austerfield,J. Austerfield,Salford City FC,Midfield,ENG - League Two,82.0,81.3,61.4,30.4
Jack Armer,J. Armer,Burton Albion,Full Back,ENG - League One,8.2,51.9,54.9,71.0
Hayden  Hackney,H. Hackney,Middlesbrough,Midfield,ENG - Championship,18.7,46.2,66.2,90.6
Oliver Sørensen Jensen,O. Sørensen,Parma,Midfield,ITA - Serie A,66.9,30.1,88.4,98.2
Pelle Mattsson,P. Mattsson,Norwich City,Midfield,ENG - Championship,26.4,66.1,38.7,46.7
Jakov Medić,J. Medić,Norwich City,Central Defender,ENG - Championship,38.7,32.7,10.0,39.2
Denzel Hall,D. Hall,Rotherham United,Full Back,ENG - League One,81.2,69.5,31.2,36.8
Nuno Alexandre Tavares Mendes,Nuno Mendes,Paris Saint-Germain,Full Back,FRA - Ligue 1,92.7,91.8,42.8,11.9
Matheus Luiz Nunes,Matheus Nunes,Manchester City,Full Back,ENG - Premier League,85.9,69.4,80.3,37.1
Samuel Almeida Costa,Samú Costa,RCD Mallorca,Midfield,ESP - LaLiga,31.8,20.5,48.3,68.8
Gonçalo Matias Ramos,Gonçalo Ramos,Paris Saint-Germain,Center Forward,FRA - Ligue 1,8.0,16.0,71.9,90.2
Conor McCarthy,C. McCarthy,Northampton Town FC,Central Defender,ENG - League One,12.4,48.0,29.9,73.0
Drey Wright ,D. Wright,Dundee FC,Full Back,SCO - Premiership,61.2,24.8,24.0,31.2
Drey Wright ,D. Wright,Dundee FC,Full Back,SCO - Premiership,43.0,43.6,11.1,37.6
Matt Butcher,M. Butcher,Salford City FC,Midfield,ENG - League Two,24.9,37.9,11.1,7.4
Ciaron Brown,C. Brown,Oxford United,Central Defender,ENG - Championship,52.7,45.3,73.9,47.5
Ross MacIver,R. MacIver,Falkirk,Center Forward,SCO - Premiership,20.9,34.1,56.2,88.7
George Stanger,G. Stanger,Kilmarnock,Central Defender,SCO - Premiership,50.4,56.3,69.0,75.5
Yasin Abbas Ayari,Y. Ayari,Brighton and Hove Albion,Midfield,ENG - Premier League,66.8,59.4,61.4,61.8
Ilan Kebbal,I. Kebbal,Paris FC,Wide Attacker,FRA - Ligue 1,13.3,25.6,82.5,88.2
Adrien Truffert,A. Truffert,Bournemouth,Full Back,ENG - Premier League,83.4,63.0,88.0,74.7
Johann Lepenant,J. Lepenant,FC Nantes,Midfield,FRA - Ligue 1,33.7,32.9,83.1,75.1
Daniel Ballard,D. Ballard,Sunderland,Central Defender,ENG - Premier League,41.2,49.1,25.4,25.3
Daniel Ballard,D. Ballard,Sunderland,Central Defender,ENG - Premier League,21.7,37.8,42.4,16.4
Adam Karabec,A. Karabec,Olympique Lyonnais,Wide Attacker,FRA - Ligue 1,5.9,20.1,29.6,83.6
 Auston  Trusty,A. Trusty,Celtic FC,Central Defender,SCO - Premiership,58.7,62.2,32.7,66.1
Martín Adrián Satriano Costa,M. Satriano,Olympique Lyonnais,Center Forward,FRA - Ligue 1,9.9,40.5,36.9,34.5
Cesare Casadei,C. Casadei,Torino,Midfield,ITA - Serie A,32.8,31.9,63.2,66.3
Matthis Abline,M. Abline,FC Nantes,Wide Attacker,FRA - Ligue 1,94.0,62.2,6.4,1.1
Mark Helm,M. Helm,Fleetwood Town FC,Midfield,ENG - League Two,64.7,56.0,23.7,22.8
Mark Helm,M. Helm,Fleetwood Town FC,Midfield,ENG - League Two,52.9,67.1,61.9,42.5
Charlie McCann,C. McCann,Barrow AFC,Midfield,ENG - League Two,45.5,84.4,67.1,27.2
Charlie Wellens,C. Wellens,Leyton Orient FC,Midfield,ENG - League One,28.7,18.0,27.2,42.9
Ilyas Chaira,I. Chaira,Real Oviedo,Wide Attacker,ESP - LaLiga,32.6,72.6,78.2,88.1
Caio Henrique Oliveira Silva,Caio Henrique,AS Monaco,Full Back,FRA - Ligue 1,86.5,91.6,65.4,81.8
Éderson José dos Santos Lourenco da Silva,Éderson,Atalanta,Midfield,ITA - Serie A,93.4,50.0,78.5,92.2
Antony Matheus dos Santos,Antony,Real Betis Balompié,Wide Attacker,ESP - LaLiga,96.0,96.5,52.9,4.0
Chrislain Matsima,C. Matsima,FC Augsburg,Central Defender,GER - Bundesliga,89.9,47.7,38.7,74.5
Xavi Quentin Shay Simons,X. Simons,Tottenham Hotspur,Midfield,ENG - Premier League,92.2,81.9,64.4,51.5
Pol Valentín Sancho,Pol Valentín,Preston North End,Full Back,ENG - Championship,68.1,64.5,18.3,14.6
Toluwalase Emmanuel Arokodare,T. Arokodare,Wolverhampton Wanderers,Center Forward,ENG - Premier League,60.4,64.8,20.7,3.0
Rocco Reitz,R. Reitz,Borussia Mönchengladbach,Midfield,GER - Bundesliga,88.6,66.1,59.8,73.5
Paul Nebel,P. Nebel,1. FSV Mainz 05,Midfield,GER - Bundesliga,41.7,44.8,89.6,97.3
Alberto Moleiro Gonzalez,Alberto Moleiro,Villarreal CF,Wide Attacker,ESP - LaLiga,8.5,31.5,86.7,97.1
Josep María Chavarría Pérez,Pep Chavarría,Rayo Vallecano,Full Back,ESP - LaLiga,80.5,81.9,86.1,84.5
Yan Bueno Couto,Yan Couto,Borussia Dortmund,Full Back,GER - Bundesliga,9.3,75.5,74.2,54.2
Flavien-Enzo Boyomo,E. Boyomo,CA Osasuna,Central Defender,ESP - LaLiga,66.6,70.7,86.7,38.7
Josko Gvardiol,J. Gvardiol,Manchester City,Central Defender,ENG - Premier League,89.0,94.9,96.5,83.6
Derrick Köhn,D. Köhn,FC Union Berlin,Full Back,GER - Bundesliga,86.9,20.0,51.7,29.0
Calvin Bassey Ughelumba,C. Bassey,Fulham,Central Defender,ENG - Premier League,97.0,83.7,85.3,52.4
Victor Torp Overgaard,V. Torp,Coventry City Football Club,Midfield,ENG - Championship,18.4,26.3,42.7,72.9
Daniel Muñoz Mejia,D. Muñoz,Crystal Palace,Full Back,ENG - Premier League,61.3,58.0,87.3,94.4
Arthur Theate,A. Theate,Eintracht Frankfurt,Central Defender,GER - Bundesliga,23.8,37.7,89.9,64.2
Aitor Paredes Casamichana,Aitor Paredes,Athletic Club de Bilbao,Central Defender,ESP - LaLiga,72.7,42.1,89.8,85.1
Sékou Mara,S. Mara,AJ Auxerre,Center Forward,FRA - Ligue 1,46.3,23.5,54.9,63.8
Arnau Martínez López,Arnau Martínez,Girona FC,Full Back,ESP - LaLiga,5.2,11.6,18.2,61.1
Moisés Isaac Caicedo Corozo,M. Caicedo,Chelsea,Midfield,ENG - Premier League,60.3,73.7,32.8,3.1
Ismaël Doukouré,I. Doukouré,RC Strasbourg Alsace,Central Defender,FRA - Ligue 1,67.6,54.3,32.9,62.6
Hugo Ekitiké,H. Ekitiké,Liverpool Football Club,Center Forward,ENG - Premier League,65.7,81.3,58.5,68.1
Yéremy Jesús Pino Santos,Yéremy Pino,Crystal Palace,Midfield,ENG - Premier League,77.2,51.5,89.5,49.4
Matteo Ruggeri,M. Ruggeri,Atlético Madrid,Full Back,ESP - LaLiga,34.2,39.3,67.5,74.9
Ladislav Krejčí,L. Krejčí,Wolverhampton Wanderers,Central Defender,ENG - Premier League,32.6,26.7,80.4,79.0
Natan Bernardo de Souza,Natan,Real Betis Balompié,Central Defender,ESP - LaLiga,87.6,78.8,79.5,11.5
Andrè Trindade da Costa Neto,André,Wolverhampton Wanderers,Midfield,ENG - Premier League,81.3,57.3,24.4,15.3
Andrè Trindade da Costa Neto,André,Wolverhampton Wanderers,Midfield,ENG - Premier League,58.1,52.8,27.3,6.3
João Victor Gomes da Silva,João Gomes,Wolverhampton Wanderers,Midfield,ENG - Premier League,78.5,96.1,75.2,32.9
Otávio Ataide da Silva,Otávio,Paris FC,Central Defender,FRA - Ligue 1,95.1,96.1,89.6,77.0
Igor Jesus Maciel Da Cruz,Igor Jesus,Nottingham Forest,Center Forward,ENG - Premier League,69.0,32.7,57.5,35.5
Rasmus Winther Højlund,R. Højlund,Napoli,Center Forward,ITA - Serie A,98.5,64.9,58.1,63.0
Joel Bagan,J. Bagan,Cardiff City,Full Back,ENG - League One,47.3,58.0,34.5,40.3
Jack Grimmer,J. Grimmer,Wycombe Wanderers,Full Back,ENG - League One,34.1,68.3,40.4,24.7
Fred Onyedinma,F. Onyedinma,Wycombe Wanderers,Wide Attacker,ENG - League One,84.8,76.2,20.9,13.6
Anis Mehmeti,A. Mehmeti,Bristol City,Midfield,ENG - Championship,76.8,53.7,84.2,56.9
Tyreeq Bakinson,T. Bakinson,Leyton Orient FC,Midfield,ENG - League One,40.0,41.5,6.4,20.0
Rob Dickie,R. Dickie,Bristol City,Central Defender,ENG - Championship,6.8,24.6,37.8,24.1
Dan Barlaser,D. Barlaser,Hibernian,Midfield,SCO - Premiership,16.7,53.4,43.3,59.1
